"","Date","Year","Month","DOY","Variable","Value"
"377",1998-11-17,1998,11,321,"Discharge_cfs",751
"378",1998-11-17,1998,11,321,"SuspendedSedimentConcentration_mg.L",543
"379",1998-12-15,1998,12,349,"Discharge_cfs",711
"380",1998-12-15,1998,12,349,"SuspendedSedimentConcentration_mg.L",163
"381",1999-01-07,1999,1,7,"Discharge_cfs",788
"382",1999-01-07,1999,1,7,"SuspendedSedimentConcentration_mg.L",296
"383",1999-01-26,1999,1,26,"Discharge_cfs",844
"384",1999-01-26,1999,1,26,"SuspendedSedimentConcentration_mg.L",410
"385",1999-02-18,1999,2,49,"Discharge_cfs",753
"386",1999-02-18,1999,2,49,"SuspendedSedimentConcentration_mg.L",97
"387",1999-04-21,1999,4,111,"Discharge_cfs",1200
"388",1999-04-21,1999,4,111,"SuspendedSedimentConcentration_mg.L",1300
"389",1999-04-28,1999,4,118,"Discharge_cfs",1190
"390",1999-04-28,1999,4,118,"SuspendedSedimentConcentration_mg.L",658
"391",1999-05-12,1999,5,132,"Discharge_cfs",2660
"392",1999-05-12,1999,5,132,"SuspendedSedimentConcentration_mg.L",2550
"393",1999-05-26,1999,5,146,"Discharge_cfs",4880
"394",1999-05-26,1999,5,146,"SuspendedSedimentConcentration_mg.L",1310
"395",1999-06-03,1999,6,154,"Discharge_cfs",4300
"396",1999-06-03,1999,6,154,"SuspendedSedimentConcentration_mg.L",1250
"397",1999-07-16,1999,7,197,"Discharge_cfs",1410
"398",1999-07-16,1999,7,197,"SuspendedSedimentConcentration_mg.L",305
"399",1999-08-12,1999,8,224,"Discharge_cfs",2740
"400",1999-08-12,1999,8,224,"SuspendedSedimentConcentration_mg.L",809
"401",1999-08-24,1999,8,236,"Discharge_cfs",2110
"402",1999-08-24,1999,8,236,"SuspendedSedimentConcentration_mg.L",331
